Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL: full nested query,7219,0,2,2.6215738930781005,0.3420000139158219,73.68266698904335,368.0,60.048255826077444,0.0,2,2,3,3,4,5,12,32,64,74,74
POST,GraphQL: songs,21873,0,2,2.5963659912658255,0.324334017932415,73.99770800839178,159.0,181.94147384454797,0.0,2,2,2,3,4,5,12,33,65,74,74
POST,GraphQL: users,21784,0,1,2.5116615991638658,0.32550000469200313,74.23599998583086,121.0,181.2011642769457,0.0,1,2,2,3,4,5,12,31,65,73,74
POST,GraphQL: users with playlists,14579,0,2,2.6158836259332663,0.306583009660244,74.10295799490996,156.0,121.26936164127761,0.0,2,2,2,3,4,5,14,32,64,74,74
,Aggregated,65455,0,2,2.5753030161141997,0.306583009660244,74.23599998583086,168.7355740585135,544.4602555888488,0.0,2,2,2,3,4,5,12,31,65,74,74
