Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/songs,167734,118509,12,262.9546936709839,0.43641601223498583,7804.80866599828,40.79241537195798,105.14374253275903,74.28714383377694,12,190,330,390,600,790,1400,4700,7800,7800,7800
GET,/users,168762,119115,12,261.8761110756315,0.4494170134421438,7807.436375005636,29.71253599744018,105.7881423999516,74.66701379439823,12,190,330,390,600,790,1400,4700,7800,7800,7800
GET,/users/1/playlists,55837,39663,12,264.45549715832516,0.42249998659826815,7780.798457999481,18.53853179791178,35.00131846734512,24.862676977099586,12,190,330,390,610,800,1400,4700,7800,7800,7800
,Aggregated,392333,277287,12,262.70433647025004,0.42249998659826815,7807.436375005636,32.859224179459794,245.93320340005576,173.81683460527475,12,190,330,390,600,790,1400,4700,7800,7800,7800
