Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP: list_songs,27832,0,1,2.4427678941896653,0.26324999635107815,63.64066700916737,17.0,231.53427616657453,0.0,1,2,2,3,4,5,10,31,48,60,64
POST,SOAP: list_user_playlists,9227,0,1,2.5113146270554285,0.2874589990824461,56.983666989253834,17.0,76.75936929394162,0.0,1,2,2,3,4,5,13,32,49,57,57
POST,SOAP: list_users,28350,0,2,2.4967755741732134,0.25533398729749024,73.62504198681563,17.0,235.84351571293433,0.0,2,2,2,3,4,5,12,31,49,63,74
,Aggregated,65409,0,1,2.475845886999309,0.25533398729749024,73.62504198681563,17.0,544.1371611734505,0.0,1,2,2,3,4,5,11,31,49,60,74
