Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,ListSongs,61150,0,0,0.03185609157808667,0,18,66.0,506.0584624843978,0.0,0,0,0,0,0,0,1,1,2,9,18
grpc,ListUserPlaylists,48514,0,0,0.027229253411386403,0,8,23.0,401.486839721473,0.0,0,0,0,0,0,0,1,1,2,5,8
grpc,ListUsers,61150,0,0,0.043532297628781684,0,51,56.0,506.0584624843978,0.0,0,0,0,0,0,0,1,1,2,8,51
,Aggregated,170814,0,0,0.034721978292177456,0,51,50.207371761096866,1413.6037646902685,0.0,0,0,0,0,0,0,1,1,2,8,51
