Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,ListSongs,70780,0,0,0.003221248940378638,0,6,66.0,523.101060192567,0.0,0,0,0,0,0,0,0,0,1,2,6
grpc,ListUserPlaylists,56386,0,0,0.002873053594863973,0,9,23.0,416.72190421048435,0.0,0,0,0,0,0,0,0,0,1,2,9
grpc,ListUsers,70780,0,0,0.020330601864933597,0,16,56.0,523.101060192567,0.0,0,0,0,0,0,0,0,1,1,4,16
,Aggregated,197946,0,0,0.009239893708385115,0,16,50.17549230598244,1462.9240245956184,0.0,0,0,0,0,0,0,0,0,1,3,16
