Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP: list_songs,59728,6,2,5.909150338719306,0.8067500020842999,7883.269042009488,622.9374162871685,279.361051029763,0.028063325511963874,2,2,2,2,3,4,23,46,380,7800,7900
POST,SOAP: list_user_playlists,20234,10,2,9.52337678563659,0.8073330100160092,7883.745208004257,531.7370762083622,94.6388880681795,0.046772209186606455,2,2,2,2,3,4,24,47,1100,7900,7900
POST,SOAP: list_users,59540,12,2,6.4932201478284925,0.7889580156188458,7881.894332997035,515.8960026872691,278.48173349705485,0.05612665102392775,2,2,2,2,3,4,23,52,380,7800,7900
,Aggregated,139502,28,2,6.682657344792949,0.7889580156188458,7883.745208004257,564.0236125646944,652.4816725949973,0.13096218572249807,2,2,2,2,3,4,23,49,390,7800,7900
