Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL: full nested query,6423,4013,110.0,736.0957859537405,0.5839579971507192,7783.685749978758,153.8377705122217,48.88837698031369,30.544769861746666,110,570,710,830,1400,4800,6700,7800,7800,7800,7800
POST,GraphQL: songs,19446,12137,96,713.5815258524659,0.5553329829126596,7810.312332992908,66.52746066029003,148.01235851769889,92.38023219836015,96,580,720,840,1400,4700,6700,7800,7800,7800,7800
POST,GraphQL: users,19150,11964,95,703.2214574733405,0.6477920105680823,7808.237540972186,49.90798955613577,145.7593677678666,91.063450442546,95,570,720,830,1400,4700,6700,7800,7800,7800,7800
POST,GraphQL: users with playlists,12805,7960,95,689.428810036039,0.6751249893568456,7812.038833013503,65.83600156188989,97.46468429595467,60.58718367792262,95,570,700,820,1400,4700,6700,7800,7800,7800,7800
,Aggregated,57824,36074,96,707.3027879087222,0.5553329829126596,7812.038833013503,70.56863931931377,440.12478756183384,274.57563618057543,96,570,710,830,1400,4700,6700,7800,7800,7800,7800
