Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/songs,28115,0,1,2.700735974965833,0.28866599313914776,100.07016698364168,139.0,233.80669091230104,0.0,1,2,2,3,4,5,21,39,62,92,100
GET,/users,28063,0,1,2.6121029446197257,0.27466699248179793,104.26170800928958,101.0,233.37425456417938,0.0,1,2,2,3,4,5,15,33,62,100,100
GET,/users/1/playlists,9386,0,2,2.765562238291436,0.2851249882951379,147.13804199709557,64.0,78.05476083595438,0.0,2,2,3,3,4,6,23,39,61,150,150
,Aggregated,65564,0,1,2.672079251412836,0.27466699248179793,147.13804199709557,111.99823073637972,545.2357063124348,0.0,1,2,2,3,4,5,19,38,62,99,150
